Date_Ticker,Close_SUMICHEM.NS,High_SUMICHEM.NS,Low_SUMICHEM.NS,Open_SUMICHEM.NS,Volume_SUMICHEM.NS,MA_20_Unnamed: 6_level_1,MA_50_Unnamed: 7_level_1,Normalised Close_Unnamed: 8_level_1,Return Ratio_Unnamed: 9_level_1,Percentage Change Open_Unnamed: 10_level_1,Percentage Change High_Unnamed: 11_level_1,Percentage Change Low_Unnamed: 12_level_1,Sector_Unnamed: 13_level_1,Sector Encoded_Unnamed: 14_level_1
Date,,,,,,,,,,,,,,
2020-01-27,195.3741912841797,195.3741912841797,186.07760856684263,186.07760856684263,278487.0,,,-2.148258692153115,,-0.0475834738264625,0.0,-0.0475834738264625,Chemicals,2.0
2020-01-28,205.10882568359372,205.10882568359372,205.10882568359372,205.10882568359372,11605.0,,,-2.0396415183632244,0.0498255902452061,0.0,0.0,0.0,Chemicals,2.0
2020-01-29,215.3302154541016,215.3302154541016,205.54690011818067,215.3302154541016,411876.0,,,-1.9255932219891685,0.0498339831864456,0.0,0.0,-0.0454340108065616,Chemicals,2.0
2020-01-30,226.0869903564453,226.0869903564453,220.97630489090676,224.87016048369804,201654.0,,,-1.8055712015364096,0.0499547863250831,-0.0053821313240042,0.0,-0.0226049515608179,Chemicals,2.0
2020-01-31,222.6311798095703,233.5826481361068,214.7947928362505,233.14459237382124,257465.0,,,-1.8441304693377203,-0.0152853135929078,0.0472234507908715,0.0491910806738926,-0.0351989644039201,Chemicals,2.0
2020-02-03,223.60464477539065,232.3658194802905,215.23286452525852,227.79054232739648,147974.0,,,-1.8332687349332688,0.0043725455107095,0.0187200831906266,0.039181541661178,-0.0374400999520446,Chemicals,2.0
2020-02-04,223.60464477539065,225.98962825205965,218.05590376639665,225.8436146151965,128870.0,,,-1.8332687349332688,0.0,0.0100130739325872,0.0106660730552565,-0.0248149630995709,Chemicals,2.0
2020-02-05,234.65347290039065,234.7508103767494,221.07365464935324,221.07365464935324,343758.0,,,-1.7099880409300106,0.0494123372799275,-0.0578717974346877,0.0004148137044623,-0.0578717974346877,Chemicals,2.0
2020-02-06,235.87030029296875,240.3969013780292,234.60479428249465,236.25967990209315,225507.0,,,-1.6964109154881026,0.0051856355567115,0.0016508208479013,0.0191910599996611,-0.005365262217847,Chemicals,2.0
2020-02-07,249.74215698242188,254.46346293955705,238.9853925413632,240.9323203828407,1131386.0,,,-1.541631413042949,0.0588113750320546,-0.0352757287997687,0.0189047216304274,-0.0430714804862353,Chemicals,2.0
